"","Treatment","Cp","Hz","Px","Sf","Total"
"1","C","36 / 29","40 / 34","65 / 59","42 / 38","183 / 160"
"2","CA","11 / 8","8 / 8","14 / 11","8 / 8","41 / 35"
"3","ChA","10 / 7","8 / 7","15 / 15","9 / 6","42 / 35"
"4","Ct","5 / 5","8 / 7","13 / 12","8 / 6","34 / 30"
"5","eCt","8 / 7","8 / 8","8 / 8","8 / 8","32 / 31"
"6","FA","10 / 10","8 / 8","17 / 17","8 / 8","43 / 43"
"7","GA","9 / 7","8 / 8","26 / 25","8 / 7","51 / 47"
"8","GeA","9 / 6","8 / 8","17 / 12","8 / 8","42 / 34"
"9","H","8 / 8","9 / 8","14 / 11","11 / 5","42 / 32"
"10","H10A","9 / 8","8 / 8","16 / 16","8 / 7","41 / 39"
"11","H10B","8 / 5","8 / 8","17 / 10","8 / 7","41 / 30"
"12","H10C","11 / 9","8 / 8","19 / 18","8 / 7","46 / 42"
"13","H2A","7 / 6","8 / 8","16 / 16","8 / 7","39 / 37"
"14","H2B","6 / 6","8 / 8","20 / 17","8 / 8","42 / 39"
"15","H2C","7 / 7","8 / 6","13 / 10","8 / 2","36 / 25"
"16","H4A","8 / 8","8 / 8","16 / 13","10 / 10","42 / 39"
"17","H4B","9 / 5","8 / 8","27 / 16","8 / 8","52 / 37"
"18","H4C","8 / 8","8 / 7","14 / 13","8 / 7","38 / 35"
"19","H6A","9 / 8","8 / 8","17 / 17","8 / 8","42 / 41"
"20","H6B","12 / 8","8 / 8","26 / 25","8 / 8","54 / 49"
"21","H6C","7 / 6","8 / 8","21 / 15","8 / 8","44 / 37"
"22","H8A","9 / 5","8 / 8","8 / 8","8 / 7","33 / 28"
"23","H8B","6 / 6","8 / 8","29 / 7","8 / 7","51 / 28"
"24","H8C","11 / 9","17 / 12","19 / 15","17 / 13","64 / 49"
"25","L10A","5 / 5","8 / 8","15 / 15","8 / 8","36 / 36"
"26","L10B","6 / 6","8 / 7","19 / 11","8 / 8","41 / 32"
"27","L10C","5 / 5","8 / 8","12 / 12","8 / 7","33 / 32"
"28","L2A","9 / 9","8 / 8","19 / 14","9 / 9","45 / 40"
"29","L2B","9 / 9","8 / 8","14 / 14","7 / 7","38 / 38"
"30","L2C","9 / 8","8 / 8","14 / 10","12 / 4","43 / 30"
"31","L4A","6 / 6","8 / 7","17 / 17","8 / 8","39 / 38"
"32","L4B","8 / 6","8 / 6","18 / 16","8 / 7","42 / 35"
"33","L4C","10 / 7","8 / 7","29 / 22","8 / 5","55 / 41"
"34","L6A","9 / 6","8 / 7","27 / 27","8 / 7","52 / 47"
"35","L6B","10 / 10","8 / 7","12 / 12","8 / 7","38 / 36"
"36","L6C","12 / 7","8 / 7","24 / 21","8 / 6","52 / 41"
"37","L8A","8 / 8","8 / 7","18 / 16","8 / 8","42 / 39"
"38","L8B","7 / 7","8 / 8","18 / 18","8 / 7","41 / 40"
"39","L8C","7 / 7","8 / 7","10 / 9","8 / 6","33 / 29"
"40","M10A","7 / 7","8 / 8","16 / 15","7 / 6","38 / 36"
"41","M10B","12 / 10","8 / 8","26 / 19","8 / 7","54 / 44"
"42","M10C","7 / 7","8 / 7","13 / 12","8 / 7","36 / 33"
"43","M2A","13 / 7","8 / 8","23 / 15","8 / 6","52 / 36"
"44","M2B","7 / 7","8 / 8","15 / 13","10 / 1","40 / 29"
"45","M2C","9 / 8","9 / 4","15 / 8","10 / 6","43 / 26"
"46","M4A","9 / 6","8 / 8","18 / 17","8 / 8","43 / 39"
"47","M4B","4 / 4","8 / 8","16 / 16","8 / 8","36 / 36"
"48","M4C","10 / 7","8 / 3","15 / 7","9 / 6","42 / 23"
"49","M6A","8 / 6","8 / 7","13 / 9","7 / 7","36 / 29"
"50","M6B","8 / 5","9 / 7","17 / 12","8 / 4","42 / 28"
"51","M6C","10 / 8","8 / 8","29 / 28","8 / 8","55 / 52"
"52","M8A","4 / 4","8 / 8","14 / 12","8 / 8","34 / 32"
"53","M8B","13 / 9","16 / 9","37 / 27","16 / 13","82 / 58"
"54","M8C","5 / 5","8 / 8","13 / 12","8 / 7","34 / 32"
"55","pCA","8 / 6","8 / 7","16 / 15","8 / 8","40 / 36"
"56","Pht","6 / 6","8 / 8","11 / 9","8 / 8","33 / 31"
"57","Phz","6 / 6","8 / 7","15 / 11","8 / 7","37 / 31"
"58","Q","5 / 5","8 / 8","15 / 10","9 / 2","37 / 25"
"59","R","19 / 15","16 / 14","43 / 37","16 / 6","94 / 72"
"60","SA","8 / 6","8 / 8","19 / 18","8 / 8","43 / 40"
