Species,Treatment,SD,Evenness,TrayID,CupID,Pupal.weight,Sex,Surv,Days.to.pupation,exp,ChA,CA,pCA,FA,GA,SA,GeA,Ct,eCt,R,H,Q,Phz,Pht
Hz,C,NA,NA,9.2,121,305.4,m,1,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Hz,C,NA,NA,9.2,122,400.7,m,1,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Hz,C,NA,NA,9.1,171,394.9,f,1,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Hz,C,NA,NA,10.4,113,376.2,f,1,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Hz,C,NA,NA,10.3,107,364.8,f,1,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Hz,C,NA,NA,10.3,108,423.5,f,1,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Hz,C,NA,NA,9.1,110,272.9,m,1,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Hz,C,NA,NA,9.3,127,365.5,m,1,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Hz,C,NA,NA,9.3,128,351.2,m,1,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Hz,C,NA,NA,9.4,116,374.5,m,1,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Hz,C,NA,NA,10.1,96,361,f,1,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Hz,C,NA,NA,10.2,101,303.1,f,1,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Hz,C,NA,NA,10.1,95,424.6,f,1,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Hz,C,NA,NA,9.4,117,406.2,f,1,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Hz,C,NA,NA,10.4,169,387.8,m,1,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Hz,C,NA,NA,10.2,100,359.2,m,1,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Hz,H10A,H,1,9.3,285,411.3,m,1,15,9,124.248,0,124.248,0,0,124.248,0,0,0,0,124.248,124.248,0,124.248
Hz,H10A,H,1,9.3,346,366.5,f,1,16,9,124.248,0,124.248,0,0,124.248,0,0,0,0,124.248,124.248,0,124.248
Hz,H10A,H,1,9.3,286,353.1,f,1,15,9,124.248,0,124.248,0,0,124.248,0,0,0,0,124.248,124.248,0,124.248
Hz,H10A,H,1,9.4,380,357.3,m,1,17,9,124.248,0,124.248,0,0,124.248,0,0,0,0,124.248,124.248,0,124.248
Hz,H10A,H,1,9.2,324,385.6,f,1,16,9,124.248,0,124.248,0,0,124.248,0,0,0,0,124.248,124.248,0,124.248
Hz,H10A,H,1,9.1,317,442.2,f,1,16,9,124.248,0,124.248,0,0,124.248,0,0,0,0,124.248,124.248,0,124.248
Hz,H10A,H,1,9.2,369,357.4,f,1,17,9,124.248,0,124.248,0,0,124.248,0,0,0,0,124.248,124.248,0,124.248
Hz,H10A,H,1,9.1,266,322.6,m,1,15,9,124.248,0,124.248,0,0,124.248,0,0,0,0,124.248,124.248,0,124.248
Hz,H10B,H,1,9.3,248,343,m,1,14,9,0,0,124.248,124.248,0,124.248,124.248,0,124.248,124.248,0,0,0,NA
Hz,H10B,H,1,9.3,247,373.4,m,1,14,9,0,0,124.248,124.248,0,124.248,124.248,0,124.248,124.248,0,0,0,NA
Hz,H10B,H,1,9.2,255,401.5,f,1,14,9,0,0,124.248,124.248,0,124.248,124.248,0,124.248,124.248,0,0,0,NA
Hz,H10B,H,1,9.4,292,366.3,m,1,15,9,0,0,124.248,124.248,0,124.248,124.248,0,124.248,124.248,0,0,0,NA
Hz,H10B,H,1,9.2,589,NA,,0,NA,9,0,0,124.248,124.248,0,124.248,124.248,0,124.248,124.248,0,0,0,NA
Hz,H10B,H,1,9.1,240,393.5,m,1,14,9,0,0,124.248,124.248,0,124.248,124.248,0,124.248,124.248,0,0,0,NA
Hz,H10B,H,1,9.1,215,415.4,m,1,13,9,0,0,124.248,124.248,0,124.248,124.248,0,124.248,124.248,0,0,0,NA
Hz,H10B,H,1,9.4,259,353.7,m,1,14,9,0,0,124.248,124.248,0,124.248,124.248,0,124.248,124.248,0,0,0,NA
Hz,H2A,H,0.2,9.3,186,352.7,f,1,13,9,0,0,7.44,0,52.08,7.44,662.16,0,0,7.44,0,0,7.44,NA
Hz,H2A,H,0.2,9.3,187,382,f,1,13,9,0,0,7.44,0,52.08,7.44,662.16,0,0,7.44,0,0,7.44,NA
