,Fungi,Plate,Cell,CellID,Treatment,Time,Reading1,Reading2
1,Botrys,B1,A2,B_1_A2,L2C,1,0.302,0.313
2,Botrys,B1,A3,B_1_A3,GA,1,0.163,0.162
3,Botrys,B1,A4,B_1_A4,M10A,1,0.186,0.187
4,Botrys,B1,A5,B_1_A5,CA,1,0.168,0.168
5,Botrys,B1,A6,B_1_A6,L6C,1,0.218,0.222
6,Botrys,B1,A7,B_1_A7,R,1,0.168,0.168
7,Botrys,B1,A8,B_1_A8,L10B,1,0.17,0.172
8,Botrys,B1,A9,B_1_A9,L8B,1,0.204,0.215
9,Botrys,B1,A10,B_1_A10,Broth,1,0.158,0.157
10,Botrys,B1,A11,B_1_A11,Captan,1,0.171,0.171
11,Botrys,B1,B2,B_1_B2,L2C,1,0.479,0.447
12,Botrys,B1,B3,B_1_B3,GA,1,0.207,0.203
13,Botrys,B1,B4,B_1_B4,M10A,1,0.228,0.219
14,Botrys,B1,B5,B_1_B5,CA,1,0.203,0.197
15,Botrys,B1,B6,B_1_B6,L6C,1,0.258,0.251
16,Botrys,B1,B7,B_1_B7,R,1,0.201,0.183
17,Botrys,B1,B8,B_1_B8,L10B,1,0.194,0.179
18,Botrys,B1,B9,B_1_B9,L8B,1,0.233,0.217
19,Botrys,B1,B10,B_1_B10,Broth,1,0.187,0.163
20,Botrys,B1,B11,B_1_B11,Captan,1,0.188,0.182
21,Botrys,B1,C2,B_1_C2,L2C,1,0.263,0.39
22,Botrys,B1,C3,B_1_C3,GA,1,0.203,0.198
23,Botrys,B1,C4,B_1_C4,M10A,1,0.246,0.242
24,Botrys,B1,C5,B_1_C5,CA,1,0.211,0.213
25,Botrys,B1,C6,B_1_C6,L6C,1,0.249,0.245
26,Botrys,B1,C7,B_1_C7,R,1,0.194,0.184
27,Botrys,B1,C8,B_1_C8,L10B,1,0.202,0.189
28,Botrys,B1,C9,B_1_C9,L8B,1,0.229,0.216
29,Botrys,B1,C10,B_1_C10,Broth,1,0.18,0.163
30,Botrys,B1,C11,B_1_C11,Captan,1,0.175,0.175
31,Botrys,B1,D2,B_1_D2,L2C,1,0.478,0.504
32,Botrys,B1,D3,B_1_D3,GA,1,0.197,0.192
33,Botrys,B1,D4,B_1_D4,M10A,1,0.227,0.225
34,Botrys,B1,D5,B_1_D5,CA,1,0.198,0.195
35,Botrys,B1,D6,B_1_D6,L6C,1,0.269,0.259
36,Botrys,B1,D7,B_1_D7,R,1,0.199,0.19
37,Botrys,B1,D8,B_1_D8,L10B,1,0.195,0.182
38,Botrys,B1,D9,B_1_D9,L8B,1,0.21,0.201
39,Botrys,B1,D10,B_1_D10,Broth,1,0.176,0.159
