Species,Treatment,SD,Richness,TrayID,CupID,Pupal.weight,Sex,Surv,Days.to.pupation,exp,ChA,CA,pCA,FA,GA,SA,GeA,Ct,eCt,R,H,Q,Phz,Pht
Hz,C,NA,0,6.1,79,314.9,m,1,13.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hz,pCA,L,1,6.1,80,NA,NA,0,NA,6,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
Hz,Phz,L,1,6.3,84,343.1,f,1,13.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Hz,M4C,M,4,6.3,85,NA,NA,0,NA,6,0,0.125,0,0,0,0,0,0,0,0,0.125,0,0.125,0.125
Hz,H8C,H,8,6.2,87,NA,NA,0,NA,6,0.062,0,0,0.062,0.062,0,0.062,0,0,0.062,0,0.062,0.062,0.062
Hz,C,NA,0,6.1,115,384.5,f,1,14.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hz,C,NA,0,6.1,116,342.2,m,1,14.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hz,H2C,H,2,6.1,117,359.5,m,1,14.5,6,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0
Hz,H2C,H,2,6.1,118,382.6,f,1,14.5,6,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0
Hz,H2C,H,2,6.1,119,392.7,m,1,14.5,6,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0
Hz,H8A,H,8,6.1,120,332.5,m,1,14.5,6,0,0.062,0.062,0,0,0.062,0.062,0,0.062,0.062,0.062,0,0,0.062
Hz,C,NA,0,6.2,124,366.2,m,1,14.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hz,C,NA,0,6.2,125,363,m,1,14.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hz,C,NA,0,6.2,126,364,m,1,14.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hz,Phz,L,1,6.2,127,321.2,m,1,14.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Hz,Phz,L,1,6.2,128,343.2,f,1,14.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Hz,Phz,L,1,6.2,129,385.4,m,1,14.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Hz,Phz,L,1,6.2,130,276.8,m,1,14.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Hz,Pht,L,1,6.2,131,356.4,f,1,14.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Hz,Pht,L,1,6.2,132,348.8,m,1,14.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Hz,Pht,L,1,6.2,133,388.1,m,1,14.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Hz,L2B,L,2,6.2,134,346.2,f,1,14.5,6,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0
Hz,L2B,L,2,6.2,135,335.2,m,1,14.5,6,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0
Hz,L2B,L,2,6.2,136,362.4,f,1,14.5,6,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0
Hz,C,NA,0,6.3,140,NA,NA,0,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hz,Phz,L,1,6.3,141,395,m,1,14.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Hz,Phz,L,1,6.3,142,360.7,m,1,14.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Hz,Pht,L,1,6.3,143,362.1,m,1,14.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Hz,Pht,L,1,6.3,144,364.8,f,1,14.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Hz,Pht,L,1,6.3,145,409.1,f,1,14.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Hz,L2B,L,2,6.3,146,347.3,m,1,14.5,6,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0
Hz,Ct,L,1,6.3,147,364.5,m,1,14.5,6,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
Hz,M8B,M,8,6.3,148,NA,NA,0,NA,6,0.062,0.062,0.062,0,0,0,0.062,0.062,0,0.062,0.062,0.062,0,0
Hz,C,NA,0,6.4,151,349.1,f,1,14.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
